Time,GGALT,GGLON,GGLAT,CONCD_RWIO
81900,7.12398,147.50728,-42.839325,0.0
81901,7.12424,147.50728,-42.839325,0.0
81902,7.12047,147.50728,-42.839325,0.0
81903,7.11383,147.50728,-42.839325,0.0
81904,7.11179,147.50728,-42.839325,0.0
81905,7.10523,147.50728,-42.839325,0.0
81906,7.09368,147.50728,-42.839325,0.0
81907,7.08986,147.50728,-42.839325,0.0
81908,7.08105,147.50728,-42.839325,0.0
81909,7.07782,147.50728,-42.839325,0.0
81910,7.0695,147.50728,-42.839325,0.0
81911,7.06836,147.50728,-42.839325,0.0
81912,7.06377,147.50728,-42.839325,0.0
81913,7.06516,147.50728,-42.839325,0.0
81914,7.06294,147.50728,-42.839325,0.0
81915,7.06116,147.50728,-42.839325,0.0
81916,7.0587,147.50728,-42.839325,0.0
81917,7.05867,147.50728,-42.839325,0.0
81918,7.05294,147.50728,-42.839325,0.0
81919,7.05489,147.50728,-42.839325,0.0
81920,7.05352,147.50728,-42.839325,0.0
81921,7.05199,147.50728,-42.839325,0.0
81922,7.0534,147.50728,-42.839325,0.0
81923,7.05851,147.50728,-42.839325,0.0
81924,7.05957,147.50728,-42.839325,0.0
81925,7.06475,147.50728,-42.839325,0.0
81926,7.07071,147.50728,-42.839325,0.0
81927,7.07296,147.50728,-42.839325,0.0
81928,7.077,147.50728,-42.839325,0.0
81929,7.08045,147.50728,-42.839325,0.0
81930,7.08136,147.50728,-42.839325,0.0
81931,7.08481,147.50728,-42.839325,0.0
81932,7.083,147.50728,-42.839325,0.0
81933,7.08745,147.50728,-42.839325,0.0
81934,7.0886,147.50728,-42.839325,0.0
81935,7.0956,147.50728,-42.839325,0.0
81936,7.10127,147.50728,-42.839325,0.0
81937,7.10668,147.50728,-42.839325,0.0
81938,7.11526,147.50728,-42.839325,0.0
81939,7.11802,147.50728,-42.839325,0.0
81940,7.12197,147.50728,-42.839325,0.0
81941,7.12642,147.50728,-42.839325,0.0
81942,7.12524,147.50728,-42.839325,0.0
81943,7.1193,147.50728,-42.839325,0.0
81944,7.11537,147.50728,-42.839325,0.0
81945,7.11208,147.50728,-42.839325,0.0
81946,7.10911,147.50728,-42.839325,0.0
81947,7.11021,147.50728,-42.839325,0.0
81948,7.1059,147.50728,-42.839325,0.0
81949,7.1086,147.50728,-42.839325,0.0
81950,7.11328,147.50728,-42.839325,0.0
81951,7.11125,147.50728,-42.839325,0.0
81952,7.11502,147.50728,-42.839325,0.0
81953,7.11468,147.50728,-42.839325,0.0
81954,7.11752,147.50728,-42.839325,0.0
81955,7.11374,147.50728,-42.839325,0.0
81956,7.11648,147.50728,-42.839325,0.0
81957,7.1162,147.50728,-42.839325,0.0
81958,7.11191,147.50728,-42.839325,0.0
81959,7.1114,147.50728,-42.839325,0.0
81960,7.10558,147.50728,-42.839325,0.0
81961,7.10763,147.50728,-42.839325,0.0
81962,7.10242,147.50728,-42.839325,0.0
81963,7.10303,147.50728,-42.839325,0.0
81964,7.10999,147.50728,-42.839325,0.0
81965,7.11338,147.50728,-42.839325,0.0
81966,7.12247,147.50728,-42.839325,0.0
81967,7.13374,147.50728,-42.839325,0.0
81968,7.14201,147.50728,-42.839325,0.0
81969,7.15794,147.50728,-42.83933,0.0
81970,7.16778,147.50728,-42.83933,0.0
81971,7.17637,147.50728,-42.83933,0.0
81972,7.18255,147.50728,-42.83933,0.0
81973,7.18181,147.50728,-42.83933,0.0
81974,7.18362,147.50728,-42.83933,0.0
81975,7.1819,147.50728,-42.83933,0.0
81976,7.17884,147.50728,-42.83933,0.0
81977,7.1786,147.50728,-42.83933,0.0
81978,7.17573,147.50728,-42.83933,0.0
81979,7.17788,147.50728,-42.83933,0.0
81980,7.17882,147.50728,-42.83933,0.0
81981,7.17523,147.50728,-42.83933,0.0
81982,7.18055,147.50728,-42.83933,0.0
81983,7.18471,147.50728,-42.83933,0.0
81984,7.18788,147.50728,-42.83933,0.0
81985,7.19504,147.50728,-42.83933,0.0
81986,7.19476,147.50728,-42.83933,0.0
81987,7.19735,147.50728,-42.83933,0.0
81988,7.19909,147.50728,-42.83933,0.0
